ticker,company_name,sector,domain,confidence,resolves,sources,cert_org_names,rdap_org,verdict
ACAD,ACADIA PHARMACEUTICALS INC,,acadia-pharm.com,0.9,True,ct_org_match,ACADIA Pharmaceuticals Inc.,,
ACLS,AXCELIS TECHNOLOGIES INC,,axcelis.com,0.9,True,ct_org_match|dns_guess,"AXCELIS TECHNOLOGIES, INC.",,
ADSK,Autodesk,Information Technology,autodesk.com,0.9,True,ct_org_match|dns_guess,"Autodesk, Inc.",,
AEBI,Aebi Schmidt Holding AG,,aebi-schmidt.com,0.9,True,ct_org_match|dns_guess,Aebi Schmidt Holding AG,,
AFL,Aflac,Financials,aflac.co.jp,0.9,True,ct_org_match,Aflac,,
ALHC,"Alignment Healthcare, Inc.",,ahcusa.com,0.9,True,ct_org_match,"Alignment Healthcare Inc.|Alignment Healthcare, Inc.",,
ALLE,Allegion,Industrials,allegion.com,0.9,True,ct_org_match|dns_guess,Allegion S&S Holding Company Inc|allegion LLC,,
ALMS,ALUMIS INC.,,alumis.com,0.9,True,ct_org_match|dns_guess,Alumis Inc.,,
ALUR,"ALLURION TECHNOLOGIES, INC.",,allurion.com,0.9,True,ct_org_match|dns_guess,Allurion Technologies Inc,,
AMPX,"Amprius Technologies, Inc.",,amprius.com,0.9,True,ct_org_match|dns_guess,AMPRIUS TECHNOLOGIES INC,,
AMSF,AMERISAFE INC,,amerisafe.com,0.9,True,ct_org_match|dns_guess,"AMERISAFE, INC",,
APOG,"APOGEE ENTERPRISES, INC.",,apog.com,0.9,True,ct_org_match,Apogee Enterprises Inc.,,
ASTE,ASTEC INDUSTRIES INC,,rockbreaker.com,0.9,True,ct_org_match,"Astec Industries, Inc.",,
ATO,Atmos Energy,Utilities,atmosenergy.com,0.9,True,ct_org_match|dns_guess,Atmos Energy Corporation,,
AUB,Atlantic Union Bankshares Corp,,ubsh.com,0.9,True,ct_org_match,Atlantic Union Bankshares Corp,,
AUID,authID Inc.,,authid.ai,0.9,True,ct_org_match,AuthID Inc,,
AVPT,"AvePoint, Inc.",,maivenpoint.com,0.9,True,ct_org_match,AvePoint Inc,,
AZN,ASTRAZENECA PLC,,fightcholesterol.study,0.9,True,ct_org_match,ASTRAZENECA PLC,,
AZZ,AZZ INC,,azz.com,0.9,True,ct_org_match|dns_guess,AZZ Inc.,,
BEAM,Beam Therapeutics Inc.,,beamtx.com,0.9,True,ct_org_match,"Beam Therapeutics Inc.|Beam Therapeutics, Inc.",,
BK,BNY Mellon,Financials,bnymellon.com,0.85,True,ct_org_match|dns_guess,BNY MELLON BANCO S A|BNY MELLON BANCO SA,,
